n,a_n,parity,is_odd_term,last_checked_previous_term
312,1240,even,False,25
313,1242,even,False,25
314,1244,even,False,25
315,1246,even,False,25
316,1250,even,False,25
317,1256,even,False,25
318,1260,even,False,25
319,1262,even,False,25
320,1268,even,False,25
321,1270,even,False,25
322,1274,even,False,25
323,1280,even,False,25
324,1284,even,False,25
325,1286,even,False,25
326,1292,even,False,25
327,1298,even,False,25
328,1304,even,False,25
329,1308,even,False,25
330,1310,even,False,25
331,1312,even,False,25
332,1314,even,False,25
333,1316,even,False,25
334,1322,even,False,25
335,1324,even,False,25
336,1328,even,False,25
337,1330,even,False,25
338,1332,even,False,25
339,1334,even,False,25
340,1338,even,False,25
341,1340,even,False,25
342,1344,even,False,25
343,1346,even,False,25
344,1350,even,False,25
345,1352,even,False,25
346,1354,even,False,25
347,1358,even,False,25
348,1362,even,False,25
349,1364,even,False,25
350,1368,even,False,25
351,1370,even,False,25
352,1376,even,False,25
353,1378,even,False,25
354,1382,even,False,25
355,1386,even,False,25
356,1388,even,False,25
357,1390,even,False,25
358,1392,even,False,25
359,1394,even,False,25
360,1396,even,False,25
361,1400,even,False,25
362,1406,even,False,25
363,1410,even,False,25
364,1412,even,False,25
365,1416,even,False,25
366,1418,even,False,25
367,1420,even,False,25
368,1424,even,False,25
369,1430,even,False,25
370,1436,even,False,25
371,1440,even,False,25
372,1442,even,False,25
373,1444,even,False,25
374,1448,even,False,25
375,1454,even,False,25
376,1460,even,False,25
377,1466,even,False,25
378,1472,even,False,25
379,1476,even,False,25
380,1478,even,False,25
381,1484,even,False,25
382,1490,even,False,25
383,1494,even,False,25
384,1496,even,False,25
385,1500,even,False,25
386,1502,even,False,25
387,1504,even,False,25
388,1508,even,False,25
389,1512,even,False,25
390,1514,even,False,25
391,1516,even,False,25
392,1520,even,False,25
393,1526,even,False,25
394,1532,even,False,25
395,1536,even,False,25
396,1538,even,False,25
397,1540,even,False,25
398,1544,even,False,25
399,1550,even,False,25
400,1556,even,False,25
401,1560,even,False,25
402,1562,even,False,25
403,1564,even,False,25
404,1568,even,False,25
405,1574,even,False,25
406,1580,even,False,25
407,1586,even,False,25
408,1590,even,False,25
409,1592,even,False,25
410,1598,even,False,25
411,1604,even,False,25
412,1610,even,False,25
413,1614,even,False,25
414,1616,even,False,25
415,1622,even,False,25
416,1624,even,False,25
417,1628,even,False,25
418,1630,even,False,25
419,1634,even,False,25
420,1640,even,False,25
421,1646,even,False,25
422,1648,even,False,25
423,1650,even,False,25
424,1652,even,False,25
425,1654,even,False,25
426,1658,even,False,25
427,1660,even,False,25
428,1664,even,False,25
429,1670,even,False,25
430,1676,even,False,25
431,1678,even,False,25
432,1680,even,False,25
433,1682,even,False,25
434,1686,even,False,25
435,1688,even,False,25
436,1690,even,False,25
437,1694,even,False,25
438,1700,even,False,25
439,1702,even,False,25
440,1704,even,False,25
441,1706,even,False,25
442,1710,even,False,25
443,1712,even,False,25
444,1714,even,False,25
445,1718,even,False,25
446,1724,even,False,25
447,1726,even,False,25
448,1730,even,False,25
449,1736,even,False,25
450,1738,even,False,25
451,1742,even,False,25
452,1744,even,False,25
453,1748,even,False,25
454,1750,even,False,25
455,1754,even,False,25
456,1756,even,False,25
457,1760,even,False,25
458,1766,even,False,25
459,1768,even,False,25
460,1770,even,False,25
461,1772,even,False,25
462,1774,even,False,25
463,1778,even,False,25
464,1780,even,False,25
465,1784,even,False,25
466,1790,even,False,25
467,1792,even,False,25
468,1794,even,False,25
469,1796,even,False,25
470,1802,even,False,25
471,1804,even,False,25
472,1808,even,False,25
473,1812,even,False,25
474,1814,even,False,25
475,1816,even,False,25
476,1818,even,False,25
477,1820,even,False,25
478,1824,even,False,25
479,1826,even,False,25
480,1828,even,False,25
481,1832,even,False,25
482,1834,even,False,25
483,1838,even,False,25
484,1840,even,False,25
485,1844,even,False,25
486,1850,even,False,25
487,1856,even,False,25
488,1858,even,False,25
489,1862,even,False,25
490,1868,even,False,25
491,1874,even,False,25
492,1880,even,False,25
493,1884,even,False,25
494,1886,even,False,25
495,1890,even,False,25
496,1892,even,False,25
497,1894,even,False,25
498,1896,even,False,25
499,1898,even,False,25
500,1902,even,False,25
501,1904,even,False,25
502,1910,even,False,25
503,1914,even,False,25
504,1916,even,False,25
505,1918,even,False,25
506,1920,even,False,25
507,1922,even,False,25
508,1928,even,False,25
509,1934,even,False,25
510,1936,even,False,25
511,1938,even,False,25
512,1940,even,False,25
513,1942,even,False,25
514,1944,even,False,25
515,1946,even,False,25
516,1952,even,False,25
517,1956,even,False,25
518,1958,even,False,25
519,1960,even,False,25
520,1964,even,False,25
521,1966,even,False,25
522,1970,even,False,25
523,1976,even,False,25
524,1980,even,False,25
525,1982,even,False,25
526,1984,even,False,25
527,1988,even,False,25
528,1990,even,False,25
529,1994,even,False,25
530,2000,even,False,25
531,2006,even,False,25
532,2008,even,False,25
533,2012,even,False,25
534,2018,even,False,25
535,2020,even,False,25
536,2022,even,False,25
537,2024,even,False,25
538,2030,even,False,25
539,2032,even,False,25
540,2034,even,False,25
541,2036,even,False,25
542,2040,even,False,25
543,2042,even,False,25
544,2046,even,False,25
545,2048,even,False,25
546,2050,even,False,25
547,2054,even,False,25
548,2060,even,False,25
549,2066,even,False,25
550,2070,even,False,25
551,2072,even,False,25
552,2076,even,False,25
553,2078,even,False,25
554,2084,even,False,25
555,2090,even,False,25
556,2092,even,False,25
557,2094,even,False,25
558,2096,even,False,25
559,2100,even,False,25
560,2102,even,False,25
561,2108,even,False,25
562,2114,even,False,25
563,2120,even,False,25
564,2122,even,False,25
565,2124,even,False,25
566,2126,even,False,25
567,2132,even,False,25
568,2134,even,False,25
569,2138,even,False,25
570,2144,even,False,25
571,2146,even,False,25
572,2148,even,False,25
573,2150,even,False,25
574,2156,even,False,25
575,2158,even,False,25
576,2162,even,False,25
577,2164,even,False,25
578,2166,even,False,25
579,2168,even,False,25
580,2170,even,False,25
581,2172,even,False,25
